id;subscription_token;start_date;end_date
1;674a411d-ec82-4df2-8f0f-e5f5a1fb2fa3;2024-09-30T17:24:57;2024-09-30T11:07:47
2;68fc533d-3100-4091-841c-7aec6d1b70f1;2024-09-30T19:12:08;2024-09-30T18:31:10
3;128678ca-3b0b-47e1-a369-881fbf28ae00;2024-09-30T20:25:24;2024-10-01T00:47:54
4;e732bd1a-408d-4e7e-b10e-5f7c33ad31d0;2024-09-30T21:40:06;2024-09-30T14:47:10
5;1636f857-94fe-4e23-8661-7ddd0945667d;2024-09-30T14:13:29;2024-09-30T23:48:25
6;a7c7010b-2ebe-4240-ac8b-24c563c3ab0e;2024-10-01T09:44:16;2024-09-30T21:37:43
7;1a74062f-daaf-4306-8773-294f9abe29e1;2024-10-01T09:13:46;2024-09-30T22:41:50
8;b1f91121-dd7c-411b-9f08-943e7e984b44;2024-09-30T12:15:17;2024-09-30T20:21:40
9;754a20d7-5b09-4302-85c3-80f1e6b99cb6;2024-09-30T19:10:49;2024-09-30T17:27:24
10;be247f89-8c1c-4c7f-aeed-dbc63586dfa0;2024-09-30T16:00:30;2024-09-30T21:22:11
